ch1,ch2,expected,event_label,pair,band,fmin,fmax,coh,imcoh,plv,pli,wpli
O1,POLY4,eeg_neck_emg,Глаза закрыты,O1-POLY4,alpha,8.0,13.0,0.12074538837080104,-0.031242048195241852,0.12291728339207073,0.10326086956521739,0.14687250266750318
O1,POLY4,eeg_neck_emg,Глаза закрыты,O1-POLY4,beta,13.0,30.0,0.11435878462618884,0.00976407380110177,0.10067859524121923,0.0863991081382386,0.13443486447194253
O1,POLY4,eeg_neck_emg,Глаза закрыты,O1-POLY4,high_beta,20.0,30.0,0.11007015273989569,-0.017742456370794604,0.09372601268313066,0.08181393174380554,0.12614807240270437
O1,POLY4,eeg_neck_emg,Глаза закрыты,O1-POLY4,low_gamma,30.0,45.0,0.11191150528722706,0.03196376137577318,0.10961223150033349,0.11216131064902334,0.1423041797031737
O2,POLY3,eeg_neck_emg,Глаза закрыты,O2-POLY3,delta,1.0,4.0,0.07441033670491928,0.04917707165426586,0.11192526274584938,0.10144927536231885,0.15159674219651603
O2,POLY3,eeg_neck_emg,Глаза закрыты,O2-POLY3,theta,4.0,8.0,0.13932919455221568,0.007115201758081726,0.12172333233399503,0.09921962095875139,0.1733767271357286
O2,POLY3,eeg_neck_emg,Глаза закрыты,O2-POLY3,alpha,8.0,13.0,0.09479733079540502,-0.006218601641302762,0.11049745687862648,0.07971014492753625,0.1081261938591509
O2,POLY3,eeg_neck_emg,Глаза закрыты,O2-POLY3,beta,13.0,30.0,0.11477802031818445,0.0272226776493526,0.10942244451208306,0.09977703455964325,0.1525252227133134
O2,POLY3,eeg_neck_emg,Глаза закрыты,O2-POLY3,high_beta,20.0,30.0,0.11735974485240952,0.009648059832901245,0.12418458207591763,0.0986442262739598,0.1558286411913174
O2,POLY3,eeg_neck_emg,Глаза закрыты,O2-POLY3,low_gamma,30.0,45.0,0.10195104402252678,0.004289356281399682,0.11089394873916937,0.09640831758034027,0.1306779215682212
O2,POLY4,eeg_neck_emg,Глаза закрыты,O2-POLY4,delta,1.0,4.0,0.14982881363301576,0.05111537688881722,0.08680641919871364,0.07246376811594203,0.20559559945285605
O2,POLY4,eeg_neck_emg,Глаза закрыты,O2-POLY4,theta,4.0,8.0,0.10356405304341579,-0.029240499537622203,0.10568877395286774,0.07692307692307691,0.1416024109226098
O2,POLY4,eeg_neck_emg,Глаза закрыты,O2-POLY4,alpha,8.0,13.0,0.10114666636739691,0.0407443177670061,0.1123088750837448,0.07971014492753623,0.140533099734343
O2,POLY4,eeg_neck_emg,Глаза закрыты,O2-POLY4,beta,13.0,30.0,0.10541936441978604,0.009767638107489523,0.09949652734630271,0.09476031215161652,0.13494286522988597
O2,POLY4,eeg_neck_emg,Глаза закрыты,O2-POLY4,high_beta,20.0,30.0,0.10884905054217923,0.007651099298193717,0.09966528664350613,0.10518934081346423,0.14163480353753
O2,POLY4,eeg_neck_emg,Глаза закрыты,O2-POLY4,low_gamma,30.0,45.0,0.09751533675836664,0.018318556494239385,0.10111615456218324,0.07561436672967865,0.12364755519725755
Fp1,POLY3,eeg_neck_emg,Глаза открыты,Fp1-POLY3,delta,1.0,4.0,0.09707321226021737,-0.010409309326535146,0.11303943344903714,0.058333333333333334,0.23379779849768823
Fp1,POLY3,eeg_neck_emg,Глаза открыты,Fp1-POLY3,theta,4.0,8.0,0.08845030118870774,-0.0018230810340889335,0.09912962159132774,0.10256410256410256,0.18518978528524288
Fp1,POLY3,eeg_neck_emg,Глаза открыты,Fp1-POLY3,alpha,8.0,13.0,0.09257580615232122,0.018848654988345523,0.08115427623682606,0.06770833333333334,0.15829250298463435
Fp1,POLY3,eeg_neck_emg,Глаза открыты,Fp1-POLY3,beta,13.0,30.0,0.11363913485516582,0.0063364400222536985,0.11592520737952744,0.1009615384615384,0.182060765106673
Fp1,POLY3,eeg_neck_emg,Глаза открыты,Fp1-POLY3,high_beta,20.0,30.0,0.12665742972416322,0.02844072788373865,0.12092206983205711,0.10125448028673836,0.1882428962480166
Fp1,POLY3,eeg_neck_emg,Глаза открыты,Fp1-POLY3,low_gamma,30.0,45.0,0.10168448659764559,-0.012810263377436315,0.09708577375694989,0.08152173913043477,0.12707282307005627
Fp1,POLY4,eeg_neck_emg,Глаза открыты,Fp1-POLY4,delta,1.0,4.0,0.06986715065308162,0.001415759861355046,0.07609893063059017,0.04444444444444444,0.22761910518476208
Fp1,POLY4,eeg_neck_emg,Глаза открыты,Fp1-POLY4,theta,4.0,8.0,0.0956445325482313,-0.0026645971634438157,0.11499923881683458,0.1111111111111111,0.15556259424216218
Fp1,POLY4,eeg_neck_emg,Глаза открыты,Fp1-POLY4,alpha,8.0,13.0,0.10995382878690758,0.0012620563753570682,0.12275928683130381,0.08506944444444445,0.1258885470883151
Fp1,POLY4,eeg_neck_emg,Глаза открыты,Fp1-POLY4,beta,13.0,30.0,0.09914661879174172,0.0174952756342657,0.09967872608671177,0.08867521367521367,0.13469552638723933
Fp1,POLY4,eeg_neck_emg,Глаза открыты,Fp1-POLY4,high_beta,20.0,30.0,0.08361796438284226,0.009894105220773181,0.0871682600615867,0.08154121863799281,0.1098122596198772
Fp1,POLY4,eeg_neck_emg,Глаза открыты,Fp1-POLY4,low_gamma,30.0,45.0,0.10267530297939106,0.014944188584678086,0.10047711329906994,0.0833333333333333,0.12744710167697862
Fp2,POLY3,eeg_neck_emg,Глаза открыты,Fp2-POLY3,delta,1.0,4.0,0.10127090943333665,-0.007791343309542456,0.11120473601496454,0.058333333333333334,0.23263968922778563
Fp2,POLY3,eeg_neck_emg,Глаза открыты,Fp2-POLY3,theta,4.0,8.0,0.08356027040238476,-0.0025922231633554397,0.09578057114638378,0.094017094017094,0.17182318907062655
Fp2,POLY3,eeg_neck_emg,Глаза открыты,Fp2-POLY3,alpha,8.0,13.0,0.0928625216200264,0.020537296178825545,0.0832669419859122,0.06770833333333333,0.16643459165913704
Fp2,POLY3,eeg_neck_emg,Глаза открыты,Fp2-POLY3,beta,13.0,30.0,0.1139874230074253,0.00740477398314709,0.11376218822210582,0.10149572649572648,0.18062670494594726
Fp2,POLY3,eeg_neck_emg,Глаза открыты,Fp2-POLY3,high_beta,20.0,30.0,0.1257110534228747,0.03259440574617108,0.11554412723045375,0.09946236559139783,0.18497753403303474
Fp2,POLY3,eeg_neck_emg,Глаза открыты,Fp2-POLY3,low_gamma,30.0,45.0,0.09729612585488924,-0.009772081776342612,0.09593994262255176,0.0760869565217391,0.12235869787680588
Fp2,POLY4,eeg_neck_emg,Глаза открыты,Fp2-POLY4,delta,1.0,4.0,0.07150045279548399,0.0010625982889338435,0.07415878175671733,0.047222222222222214,0.22560044097046195
Fp2,POLY4,eeg_neck_emg,Глаза открыты,Fp2-POLY4,theta,4.0,8.0,0.09917826672151597,-1.9810845912744146e-06,0.1153704076338449,0.09188034188034186,0.13953428047684313
Fp2,POLY4,eeg_neck_emg,Глаза открыты,Fp2-POLY4,alpha,8.0,13.0,0.10872770690287847,-0.004752956294993234,0.12302685275466142,0.08854166666666669,0.12241329817325927
Fp2,POLY4,eeg_neck_emg,Глаза открыты,Fp2-POLY4,beta,13.0,30.0,0.1032268714724769,0.015240423859632564,0.1027100855424993,0.09668803418803415,0.13783141531016213
Fp2,POLY4,eeg_neck_emg,Глаза открыты,Fp2-POLY4,high_beta,20.0,30.0,0.08961890553641186,0.0063393649651097865,0.0886012068172787,0.08691756272401432,0.1125351378160843
Fp2,POLY4,eeg_neck_emg,Глаза открыты,Fp2-POLY4,low_gamma,30.0,45.0,0.10052260866827155,0.014726374648492463,0.10125860069188405,0.0803140096618357,0.11512909601799892
O1,POLY3,eeg_neck_emg,Глаза открыты,O1-POLY3,delta,1.0,4.0,0.12427555891772601,-0.056159993995419134,0.12897872154965398,0.08333333333333333,0.3087624322403364
O1,POLY3,eeg_neck_emg,Глаза открыты,O1-POLY3,theta,4.0,8.0,0.134529646046855,0.016906816860095094,0.11219592505104001,0.13034188034188035,0.30906481798854696
O1,POLY3,eeg_neck_emg,Глаза открыты,O1-POLY3,alpha,8.0,13.0,0.11156223588402386,0.014029081121125293,0.11992660418762476,0.09374999999999999,0.2631679515393424
O1,POLY3,eeg_neck_emg,Глаза открыты,O1-POLY3,beta,13.0,30.0,0.10683234025769542,0.01098048542583153,0.10551530129775986,0.10523504273504271,0.21012150201220361
O1,POLY3,eeg_neck_emg,Глаза открыты,O1-POLY3,high_beta,20.0,30.0,0.10988705364639094,0.007382374093423006,0.1130951822141277,0.10663082437275981,0.18894220494102243
O1,POLY3,eeg_neck_emg,Глаза открыты,O1-POLY3,low_gamma,30.0,45.0,0.11362841611545328,0.0010343171801722186,0.08956319455540429,0.0791062801932367,0.27371617211287214
O1,POLY4,eeg_neck_emg,Глаза открыты,O1-POLY4,delta,1.0,4.0,0.09908958805155081,0.036278426608273295,0.07991845177099292,0.08611111111111111,0.3841724637171513
O1,POLY4,eeg_neck_emg,Глаза открыты,O1-POLY4,theta,4.0,8.0,0.10746120641282128,-0.01046757285399816,0.09259179983835038,0.09829059829059829,0.27888483686682997
O1,POLY4,eeg_neck_emg,Глаза открыты,O1-POLY4,alpha,8.0,13.0,0.10707289717482205,0.00571432407745168,0.10052198281376117,0.08506944444444443,0.21127424791155114
O1,POLY4,eeg_neck_emg,Глаза открыты,O1-POLY4,beta,13.0,30.0,0.11181719321218339,0.009388112655473086,0.1147164018078158,0.1217948717948718,0.2010098973920675
O1,POLY4,eeg_neck_emg,Глаза открыты,O1-POLY4,high_beta,20.0,30.0,0.12532462584428264,-0.0015960202797481184,0.1232294155387533,0.1317204301075269,0.1974942343251091
O1,POLY4,eeg_neck_emg,Глаза открыты,O1-POLY4,low_gamma,30.0,45.0,0.10281080052206536,-0.0008529051560297881,0.11961763215783887,0.11896135265700485,0.24328883450859437
O2,POLY3,eeg_neck_emg,Глаза открыты,O2-POLY3,delta,1.0,4.0,0.09676228937951234,-0.00963461881058709,0.10677380599641226,0.075,0.2289951035995344
O2,POLY3,eeg_neck_emg,Глаза открыты,O2-POLY3,theta,4.0,8.0,0.0897257871322639,-0.0012982982232624823,0.09633443165654672,0.10256410256410255,0.18555024410882376
O2,POLY3,eeg_neck_emg,Глаза открыты,O2-POLY3,alpha,8.0,13.0,0.09403777302707224,0.019328070516310802,0.0850449979368675,0.07118055555555555,0.16034809088503219
O2,POLY3,eeg_neck_emg,Глаза открыты,O2-POLY3,beta,13.0,30.0,0.11352730820280212,0.007477283476241526,0.11318785241749235,0.11057692307692306,0.1796171183671209
O2,POLY3,eeg_neck_emg,Глаза открыты,O2-POLY3,high_beta,20.0,30.0,0.12763119790715088,0.03154360141121224,0.11929917986022026,0.1075268817204301,0.19076559770903556
O2,POLY3,eeg_neck_emg,Глаза открыты,O2-POLY3,low_gamma,30.0,45.0,0.10203440905144523,-0.009114252872890954,0.10162675805709279,0.08091787439613525,0.12670844535897738
O2,POLY4,eeg_neck_emg,Глаза открыты,O2-POLY4,delta,1.0,4.0,0.06975816665967606,0.002364974618149241,0.07771636529042561,0.03611111111111111,0.22191595699115224
O2,POLY4,eeg_neck_emg,Глаза открыты,O2-POLY4,theta,4.0,8.0,0.09659176513551043,-0.0011722426484583664,0.11139069392853407,0.10683760683760682,0.15510990933964403
O2,POLY4,eeg_neck_emg,Глаза открыты,O2-POLY4,alpha,8.0,13.0,0.11150619798112653,0.0025965393012224976,0.12050372638792776,0.08506944444444445,0.1271474180095928
O2,POLY4,eeg_neck_emg,Глаза открыты,O2-POLY4,beta,13.0,30.0,0.09981152713149845,0.015295471964241728,0.10725656508247756,0.0972222222222222,0.1367061270151904
O2,POLY4,eeg_neck_emg,Глаза открыты,O2-POLY4,high_beta,20.0,30.0,0.08419368465868338,0.009314364308521682,0.09680375206585173,0.08870967741935483,0.11378481572333178
O2,POLY4,eeg_neck_emg,Глаза открыты,O2-POLY4,low_gamma,30.0,45.0,0.10212826972872448,0.015508508905568453,0.10064222864744699,0.08454106280193234,0.12719695133176187
Fp1,POLY3,eeg_neck_emg,Рука,Fp1-POLY3,delta,1.0,4.0,0.10341533384567378,-0.0035507404464448166,0.1545859581973518,0.11333333333333333,0.22240233742981425
Fp1,POLY3,eeg_neck_emg,Рука,Fp1-POLY3,theta,4.0,8.0,0.10575023316862354,-0.015701550531147267,0.10144833866111817,0.08974358974358973,0.2012381423259034
Fp1,POLY3,eeg_neck_emg,Рука,Fp1-POLY3,alpha,8.0,13.0,0.1028743286102379,-0.028052297666204387,0.11744575480452148,0.07500000000000001,0.15101933171352713
Fp1,POLY3,eeg_neck_emg,Рука,Fp1-POLY3,beta,13.0,30.0,0.10487384568142447,0.0015745580907186437,0.10786805951725428,0.12115384615384614,0.14154457353726252
Fp1,POLY3,eeg_neck_emg,Рука,Fp1-POLY3,high_beta,20.0,30.0,0.11034316082306377,-0.010875826869292182,0.13166480233502015,0.13440860215053765,0.15463161941558076
Fp1,POLY3,eeg_neck_emg,Рука,Fp1-POLY3,low_gamma,30.0,45.0,0.10358935651420356,-0.03766627652342567,0.10731390703679786,0.10724637681159423,0.13956913289075443
Fp1,POLY4,eeg_neck_emg,Рука,Fp1-POLY4,delta,1.0,4.0,0.13487331258323582,0.006827738057018223,0.1664783816515934,0.13333333333333333,0.3794402773176543
Fp1,POLY4,eeg_neck_emg,Рука,Fp1-POLY4,theta,4.0,8.0,0.10724690198508724,-0.0032295131479012406,0.1411176160562735,0.13333333333333333,0.2283690845385256
Fp1,POLY4,eeg_neck_emg,Рука,Fp1-POLY4,alpha,8.0,13.0,0.128464451130855,0.019043985107796656,0.14052411145016455,0.11041666666666668,0.21198866858729637
Fp1,POLY4,eeg_neck_emg,Рука,Fp1-POLY4,beta,13.0,30.0,0.12152385432823257,-0.0014643602658996105,0.11631539711516917,0.10000000000000002,0.1406263924008247
Fp1,POLY4,eeg_neck_emg,Рука,Fp1-POLY4,high_beta,20.0,30.0,0.12950664929464276,0.008923045960250404,0.11398894255313792,0.0978494623655914,0.16291653452630492
Fp1,POLY4,eeg_neck_emg,Рука,Fp1-POLY4,low_gamma,30.0,45.0,0.1085066982950718,0.019981628344325868,0.10626660863092595,0.09710144927536234,0.1427097717948298
Fp2,POLY3,eeg_neck_emg,Рука,Fp2-POLY3,delta,1.0,4.0,0.10001594094480867,-0.009209279875020269,0.1486245486983188,0.12666666666666665,0.2359555287172932
Fp2,POLY3,eeg_neck_emg,Рука,Fp2-POLY3,theta,4.0,8.0,0.1046888307948889,-0.01874390719134831,0.10234956546106092,0.09487179487179488,0.21127813703673598
Fp2,POLY3,eeg_neck_emg,Рука,Fp2-POLY3,alpha,8.0,13.0,0.10194042746990531,-0.027934075877605158,0.1174254284455104,0.07708333333333334,0.14623259399489247
